	Gene Name	Protein name	Product Description	Evidence Ontology Term	GO Term
PA14_02660	PA14_02660	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_02680	aldH	Putative aldehyde dehydrogenase	aldehyde dehydrogenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; oxidation-reduction process
PA14_02690	PA14_02690	Putative amino acid permease	amino acid permease	match to InterPro signature evidence used in automatic assertion	amino acid transmembrane transport; amino acid transmembrane transporter activity; membrane
PA14_02700	PA14_02700	Putative aminotransferase, class III	aminotransferase	match to InterPro signature evidence used in automatic assertion	transaminase activity; pyridoxal phosphate binding; catalytic activity
PA14_02730	PA14_02730	Putative dihydrodipicolinate synthetase	dihydrodipicolinate synthetase	match to InterPro signature evidence used in automatic assertion	metabolic process; lyase activity; catalytic activity
PA14_02750	PA14_02750	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding; DNA binding
PA14_02760	catI	Putative CoA transferase, subunit A	CoA transferase, subunit A	match to InterPro signature evidence used in automatic assertion	metabolic process; CoA-transferase activity
PA14_02770	pcaJ	Putative CoA transferase, subunit B	CoA transferase subunit B	match to InterPro signature evidence used in automatic assertion	metabolic process; CoA-transferase activity
PA14_02790	pcaF	Beta-ketoadipyl CoA thiolase PcaF	beta-ketoadipyl CoA thiolase	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process; transferase activity, transferring acyl groups other than amino-acyl groups; protocatechuate catabolic process
PA14_02810	pcaT	Dicarboxylic acid transporter PcaT	dicarboxylic acid transporter PcaT	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane; transmembrane transport; integral component of membrane; transmembrane transporter activity
PA14_02830	pcaB	3-carboxy-cis,cis-muconate cycloisomerase	3-carboxy-cis,cis-muconate cycloisomerase	match to InterPro signature evidence used in automatic assertion	catalytic activity; protocatechuate catabolic process; 3-carboxy-cis,cis-muconate cycloisomerase activity
PA14_02840	pcaD	Beta-ketoadipate enol-lactone hydrolase	beta-ketoadipate enol-lactone hydrolase	match to InterPro signature evidence used in automatic assertion	beta-ketoadipate pathway; 3-oxoadipate enol-lactonase activity
PA14_02850	pcaC	Gamma-carboxymuconolactone decarboxylase	gamma-carboxymuconolactone decarboxylase	match to InterPro signature evidence used in automatic assertion	peroxiredoxin activity; oxidation-reduction process
PA14_02870	PA14_02870	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_02890	PA14_02890	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	cell outer membrane
PA14_02900	pcaK	4-hydroxybenzoate transporter PcaK	4-hydroxybenzoate transporter PcaK	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane; transmembrane transport; integral component of membrane
PA14_02910	PA14_02910	Putative transcriptional regulator, IclR family	IclR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; regulation of transcription, DNA-templated
PA14_02930	PA14_02930	Putative oxidoreductase	oxidoreductase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity; oxidation-reduction process
PA14_02970	PA14_02970	Putative permease	hypothetical protein	match to InterPro signature evidence used in automatic assertion	membrane
PA14_02980	PA14_02980	Putative outer membrane porin	porin	match to InterPro signature evidence used in automatic assertion	transport; porin activity; integral component of membrane
PA14_02990	PA14_02990	Putative MFS transporter	MFS transporter	match to InterPro signature evidence used in automatic assertion	integral component of membrane; transmembrane transport
PA14_03010	PA14_03010	Putative transcriptional regulator, TetR family	TetR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding
PA14_03020	aroE	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	shikimate 5-dehydrogenase	match to InterPro signature evidence used in automatic assertion	shikimate 3-dehydrogenase (NADP+) activity; oxidation-reduction process
PA14_03030	aroQ2	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	3-dehydroquinate dehydratase	match to InterPro signature evidence used in automatic assertion	3-dehydroquinate dehydratase activity
PA14_03040	PA14_03040	Putative MFS transporter	MFS transporter	match to InterPro signature evidence used in automatic assertion	transport; integral component of membrane; transmembrane transport
PA14_03050	pobA	p-hydroxybenzoate hydroxylase	4-hydroxybenzoate 3-monooxygenase	match to InterPro signature evidence used in automatic assertion	4-hydroxybenzoate 3-monooxygenase activity; benzoate catabolic process; flavin adenine dinucleotide binding; oxidation-reduction process; metabolic process; oxidoreductase activity
PA14_03070	pobR	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding
PA14_03080	PA14_03080	Putative acetyltransferase	acetyltransferase	match to InterPro signature evidence used in automatic assertion	N-acetyltransferase activity
PA14_03090	PA14_03090	Putative CBS domain	hypothetical protein	match to InterPro signature evidence used in automatic assertion	adenyl nucleotide binding
PA14_03120	PA14_03120	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; intracellular; regulation of transcription, DNA-templated
PA14_03130	PA14_03130	UbiD-like decarboxylase (EC 4.1.1.-) (Ferulic acid decarboxylase-like protein)	hypothetical protein	match to InterPro signature evidence used in automatic assertion	FMN binding; oxidoreductase activity; oxidation-reduction process; plasma membrane; ubiquinone biosynthetic process; carboxy-lyase activity
PA14_03166	PA14_03166				
PA14_03170	PA14_03170	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	nucleic acid binding; DNA integration
PA14_03180	PA14_03180	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	DNA binding; transposase activity; transposition, DNA-mediated
PA14_03290	PA14_03290	Possible transposase (Uncharacterized protein)	hypothetical protein	match to InterPro signature evidence used in automatic assertion	DNA binding; transposase activity; transposition, DNA-mediated
PA14_03300	PA14_03300	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	nucleic acid binding; DNA integration
PA14_03310	PA14_03310	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	metabolic process; transferase activity, transferring glycosyl groups
PA14_03330	PA14_03330	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; DNA binding; DNA-directed DNA polymerase activity; DNA replication; histidine biosynthetic process; histidinol-phosphatase activity
PA14_03350	PA14_03350				
PA14_03360	PA14_03360				
PA14_03370	PA14_03370				
PA14_03390	PA14_03390	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	DNA binding; DNA integration
PA14_03430	gabD	Succinate-semialdehyde dehydrogenase, NADP-dependent activity	succinate-semialdehyde dehydrogenase I	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity; oxidation-reduction process; gamma-aminobutyric acid catabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; succinate-semialdehyde dehydrogenase [NAD(P)+] activity
PA14_03450	gabT	4-aminobutyrate aminotransferase	4-aminobutyrate aminotransferase	match to InterPro signature evidence used in automatic assertion	transaminase activity; pyridoxal phosphate binding; 4-aminobutyrate transaminase activity; gamma-aminobutyric acid metabolic process; catalytic activity
PA14_03470	PA14_03470	Putative response regulator	hypothetical protein	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system
PA14_03480	PA14_03480	Putative transcriptional regulator, GntR family	GntR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	catalytic activity; pyridoxal phosphate binding; biosynthetic process; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_03490	PA14_03490	Alkyl hydroperoxide reductase AhpD (EC 1.11.1.15)	hypothetical protein	match to InterPro signature evidence used in automatic assertion	peroxiredoxin activity; oxidation-reduction process
